"","id","t_start","t_end","auth","consent","leeftijd","opleiding","d_grens","woonwerk_duits","fam_kennis","gebruik_hoevaak","situaties","interesse_taal","interesse_duits","duits_belang","schatting","score","CEFR"
"1",19,"46152,5354282407","46152,5435763889","anonymous","ja","18-40","mbo",30,"nee","nee","nooit","vakantie;","ja","nee","ja",1,-1.16038980997727,"A1"
"2",20,"46152,5392476852","46152,5472337963","anonymous","ja","18-40","hbo",70,"nee","nee","soms","werk;boodschappen;","ja","nee","ja",2,0.310393978931166,"B1"
"3",21,"46152,5583101852","46152,5603240741","anonymous","ja","18-40","hbo",15,"nee","nee","nooit","werk;ik gebruik geen duits in mijn dagelijks leven.;","ja","nee","nee",2,-1.67454313104567,"A1"
"4",22,"46152,547349537","46152,5627083333","anonymous","ja","18-40","wo",50,"nee","nee","nooit","ik gebruik geen duits in mijn dagelijks leven.;","ja","nee","nee",2,-0.19100532103052,"B1"
"5",23,"46152,5608333333","46152,5657523148","anonymous","ja","18-40","havo",78,"nee","nee","soms","vakantie;","ja","nee","nee",2,-1.36115834871557,"A1"
"6",24,"46152,5673263889","46152,5813657407","anonymous","ja","18-40","havo",189,"nee","nee","nooit","ik gebruik geen duits in mijn dagelijks leven.;","ja","ja","nee",2,-0.963935076904457,"A1"
"7",25,"46152,5638657407","46152,5832523148","anonymous","ja","40+","mbo",50,"nee","nee","soms","vakantie;","ja","nee","nee",1,-0.577704009594619,"A2"
"8",26,"46152,5728703704","46152,5837152778","anonymous","ja","40+","hbo",60,"ja","ja","regelmatig","werk;","ja","ja","ja",4,0.631131854964888,"B2"
"9",27,"46152,6736226852","46152,6856481481","anonymous","ja","18-40","hbo",80,"nee","nee","soms","vakantie;","ja","nee","nee",3,-0.191005321030521,"B1"
"10",28,"46152,6736226852","46152,6892824074","anonymous","ja","18-40","wo",80,"nee","ja","soms","vakantie;werk;","ja","nee","nee",2,-0.0929612666336904,"B1"
"11",29,"46152,6769212963","46152,6919560185","anonymous","ja","40+","hbo",80,"nee","nee","soms","vakantie;","nee","nee","nee",2,0.0059956626671159,"B1"
"12",30,"46152,6771875","46152,6976273148","anonymous","ja","40+","havo",80,"ja","nee","vaak","werk;vakantie;","ja","ja","ja",5,0.20745367703552,"B1"
"13",31,"46152,7021875","46152,7109606481","anonymous","ja","18-40","havo",87,"nee","nee","nooit","ik gebruik geen duits in mijn dagelijks leven.;","ja","nee","nee",2,-0.191005321030521,"B1"
"14",32,"46152,7663773148","46152,7693981481","anonymous","ja","18-40","hbo",70,"nee","nee","soms","ik gebruik geen duits in mijn dagelijks leven.;","ja","ja","ja",1,-1.26012634588786,"A1"
"15",33,"46152,76625","46152,772974537","anonymous","ja","18-40","hbo",50,"nee","nee","nooit","ik gebruik geen duits in mijn dagelijks leven.;","ja","nee","ja",2,-0.866817477369529,"A1"
"16",34,"46153,4115393519","46153,4158796296","anonymous","ja","18-40","havo",50,"nee","nee","nooit","ik gebruik geen duits in mijn dagelijks leven.;","ja","nee","nee",1,-1.67454313104566,"A1"
"17",35,"46153,4114236111","46153,4180555556","anonymous","ja","18-40","havo",50,"nee","nee","nooit","ik gebruik geen duits in mijn dagelijks leven.;","ja","nee","nee",2,-1.4637253513549,"A1"
"18",36,"46153,4114699074","46153,4206365741","anonymous","ja","18-40","vwo",50,"nee","nee","nooit","ik gebruik geen duits in mijn dagelijks leven.;","nee","nee","nee",2,-0.673877198444853,"A1"
"19",37,"46153,4164351852","46153,4271875","anonymous","ja","18-40","vwo",50,"nee","nee","nooit","(social) media;","nee","nee","nee",2,0.207453677035521,"B1"
"20",38,"46153,4213310185","46153,4304861111","anonymous","ja","40+","wo",35,"nee","nee","soms","vakantie;","ja","ja","nee",3,0.858053626048467,"B2"
"21",39,"46153,4377546296","46153,4560763889","anonymous","ja","40+","wo",100,"nee","nee","soms","vakantie;","ja","ja","ja",3,0.858053626048468,"B2"
"22",40,"46153,4782986111","46153,4986689815","anonymous","ja","18-40","havo",47,"nee","nee","nooit","vakantie;","ja","ja","ja",1,-1.26012634588786,"A1"
"23",41,"46153,5192013889","46153,5352430556","anonymous","ja","40+","mbo",30,"nee","ja","nooit","ik gebruik geen duits in mijn dagelijks leven.;","nee","ja","ja",2,-0.481500818479416,"A2"
"24",42,"46153,5327430556","46153,5403009259","anonymous","ja","40+","wo",11,"nee","nee","nooit","boodschappen;","ja","nee","ja",2,0.41513286956563,"B1"
"25",43,"46153,5378125","46153,5481365741","anonymous","ja","40+","mbo",45,"nee","nee","soms","vakantie;","nee","nee","nee",2,-0.288324226031688,"A2"
"26",45,"46153,5462037037","46153,5533101852","anonymous","ja","40+","wo",33,"nee","ja","nooit","ik gebruik geen duits in mijn dagelijks leven.;","ja","nee","nee",2,0.631131854964888,"B2"
"27",46,"46153,5579166667","46153,5643981481","anonymous","ja","18-40","wo",35,"nee","ja","regelmatig","werk;vakantie;boodschappen;overig;(social) media;","nee","nee","nee",3,0.858053626048467,"B2"
"28",47,"46153,5540046296","46153,5645949074","anonymous","ja","40+","hbo",175,"nee","nee","nooit","ik gebruik geen duits in mijn dagelijks leven.;","ja","nee","nee",2,-1.36115834871557,"A1"
"29",48,"46153,5625231481","46153,5679050926","anonymous","ja","18-40","basisonderwijs",110,"nee","nee","soms","werk;vakantie;boodschappen;","ja","ja","ja",2,-0.385097912867078,"A2"
"30",49,"46153,5645833333","46153,5710185185","anonymous","ja","18-40","hbo",35,"nee","ja","soms","overig;","nee","nee","nee",2,-1.26012634588786,"A1"
"31",50,"46153,5586458333","46153,5730555556","anonymous","ja","18-40","hbo",92,"nee","ja","nooit","vakantie;","ja","ja","ja",2,-0.191005321030521,"B1"
"32",51,"46153,5749652778","46153,5815740741","anonymous","ja","18-40","vwo",75,"nee","nee","soms","werk;vakantie;","nee","ja","ja",3,0.310393978931167,"B1"
"33",52,"46153,5834027778","46153,6051273148","anonymous","ja","18-40","wo",200,"nee","nee","nooit","overig;","ja","ja","ja",2,0.00599566266711634,"B1"
"34",53,"46153,6113657407","46153,6186574074","anonymous","ja","40+","wo",50,"nee","nee","soms","vakantie;(social) media;overig;","ja","nee","ja",4,1.49823261743954,"C1/C2"
"35",54,"46153,6290740741","46153,635","anonymous","ja","40+","hbo",120,"nee","nee","nooit","vakantie;","ja","ja","nee",3,-0.481500818479416,"A2"
"36",55,"46153,6268865741","46153,6358333333","anonymous","ja","40+","wo",140,"nee","nee","regelmatig","werk;vakantie;","ja","ja","ja",3,0.521943987371548,"B2"
"37",56,"46153,6286226852","46153,6372685185","anonymous","ja","40+","hbo",50,"nee","nee","soms","overig;","ja","ja","ja",4,1.35928067391293,"C1/C2"
"38",57,"46153,6335300926","46153,6375810185","anonymous","ja","40+","mbo",30,"nee","nee","soms","vakantie;(social) media;boodschappen;","ja","ja","ja",3,-0.963935076904457,"A1"
"39",58,"46153,6329513889","46153,6437384259","anonymous","ja","18-40","havo",20,"nee","nee","soms","vakantie;werk;","nee","nee","ja",4,0.106063539170872,"B1"
"40",59,"46153,6408912037","46153,6475","anonymous","ja","40+","hbo",1,"ja","ja","vaak","werk;vakantie;(social) media;boodschappen;overig;","ja","ja","ja",4,0.74303881678278,"B2"
"41",60,"46153,6485648148","46153,6540509259","anonymous","ja","40+","wo",35,"nee","nee","nooit","ik gebruik geen duits in mijn dagelijks leven.;","nee","nee","nee",1,-0.963935076904456,"A1"
"42",61,"46153,6315972222","46153,6581134259","anonymous","ja","40+","mbo",30,"nee","nee","soms","werk;vakantie;boodschappen;","nee","nee","ja",3,0.743038816782779,"B2"
"43",62,"46153,654849537","46153,6660763889","anonymous","ja","40+","wo",50,"nee","nee","nooit","vakantie;","ja","nee","ja",4,0.858053626048466,"B2"
"44",63,"46153,6628125","46153,6707175926","anonymous","ja","40+","mbo",100,"nee","ja","nooit","ik gebruik geen duits in mijn dagelijks leven.;","nee","ja","ja",2,-0.288324226031687,"A2"
"45",64,"46153,6879166667","46153,6972453704","anonymous","ja","40+","mbo",50,"nee","nee","nooit","ik gebruik geen duits in mijn dagelijks leven.;","nee","nee","ja",2,0.41513286956563,"B1"
"46",65,"46153,6941898148","46153,7077083333","anonymous","ja","40+","vmbo",200,"nee","ja","nooit","ik gebruik geen duits in mijn dagelijks leven.;","nee","nee","ja",2,0.41513286956563,"B1"
"47",66,"46153,7009722222","46153,7090162037","anonymous","ja","18-40","hbo",100,"nee","ja","soms","vakantie;","nee","nee","ja",2,-0.673877198444853,"A1"
"48",67,"46153,717962963","46153,7280092593","anonymous","ja","40+","havo",15,"nee","nee","soms","vakantie;boodschappen;","nee","nee","ja",4,0.631131854964888,"B2"
"49",68,"46153,7224884259","46153,7284953704","anonymous","ja","18-40","vmbo",77,"nee","nee","soms","werk;","ja","nee","nee",2,-0.191005321030521,"B1"
"50",69,"46153,7123958333","46153,7309143519","anonymous","ja","40+","wo",45,"nee","nee","nooit","ik gebruik geen duits in mijn dagelijks leven.;","ja","ja","ja",2,0.631131854964888,"B2"
"51",70,"46153,7307523148","46153,7476157407","anonymous","ja","40+","havo",16,"ja","ja","vaak","werk;vakantie;(social) media;boodschappen;","ja","ja","nee",4,1.49823261743954,"C1/C2"
"52",71,"46153,7451273148","46153,7543171296","anonymous","ja","40+","hbo",400,"nee","nee","soms","overig;","nee","nee","ja",4,1.64446657887011,"C1/C2"
